external_gene_name	E11	E12	E13	E14	E15	E16	E18	P0	CtrlUnInj
ACACA	14.385000000000002	27.84	30.65	17.865000000000002	23.78	22.195	26.09	13.265	19.33
ACACB	1.335	1.255	1.4649999999999999	1.01	2.58	1.905	1.535	2.995	0.755
ACAD10	1.09	1.52	1.605	1.1099999999999999	0.79	0.875	0.655	0.73	0.79
ACAD11	4.825	6.414999999999999	6.359999999999999	5.245	6.71	4.675000000000001	6.5649999999999995	3.8449999999999998	11.54
ACAD12	1.21	1.395	0.9550000000000001	0.88	0.935	0.785	0.97	0.62	1.1949999999999998
ACAD8	24.17	31.380000000000003	33.915	33.625	29.425	36.53	36.795	19.295	13.13
ACAD9	23.355	30.105	33.385000000000005	33.015	32.545	33.58	34.83	22.08	14.440000000000001
ACADL	22.009999999999998	40.11	36.05	28.555	29.915	27.09	31.905	43.5	34.44
ACADM	19.18	31.985	34.004999999999995	29.1	33.985	30.450000000000003	34.715	32.09	28.189999999999998
ACADS	34.455	24.41	27.755000000000003	23.405	15.335	19.095	15.93	10.42	3.845
ACADSB	18.47	34.075	38.595	40.65	51.400000000000006	55.28	62.97	27.86	45.81
ACADVL	23.05	36.225	37.879999999999995	41.519999999999996	46.86	48.545	50.215	42.105	19.505000000000003
ACAN	0.055	0.07	0.335	0.015	0.045000000000000005	0.05	0.39	0.215	0.63
ACAP1	0.585	0.51	0.5449999999999999	0.26	0.115	0.415	0.275	0.31	0.015
ACAP2	8.690000000000001	18.07	17.09	9.5	8.95	8.92	9.96	4.275	22.255000000000003
ACAP3	13.385	27.625	43.535	45.075	58.295	69.275	73.25	76.455	27.784999999999997
ACAT1	15.925	36.555	67.44	105.36500000000001	161.35500000000002	145.13	160.745	176.41	50.045
ACAT2	217.68	264.565	310.83	290.56	179.745	266.805	232.715	230.865	27.07
ACAT3	1.03	0.895	1.37	1.075	0.49	0.855	0.7949999999999999	0.6599999999999999	4.04
ACBD3	8.635	17.619999999999997	19.08	15.955	14.865	18.415	18.285	11.379999999999999	18.195
ACBD4	3.84	6.29	5.279999999999999	6.78	9.24	12.155000000000001	11.969999999999999	20.09	19.865
ACBD5	10.685	23.145	37.285	37.035	30.125	40.905	41.94	30.150000000000002	53.22
ACBD6	39.58	66.715	73.85	65.765	77.57	84.05	74.63499999999999	125.38	45.72
ACBD7	0.11499999999999999	0.235	0.56	0.605	1.27	0.92	1.025	3.8	0.7350000000000001
ACCS	4.845	7.38	6.62	7.5	5.34	6.025	4.725	3.765	2.085
ACCSL	0.19	0.065	0.245	0.515	0.7849999999999999	0.445	0.7949999999999999	0.25	0.47500000000000003
ACD	40.2	60.5	68.86500000000001	80.14	70.21000000000001	82.19	78.91499999999999	76.72999999999999	15.65
ACE	0.285	0.625	0.575	0.645	2.125	1.9899999999999998	2.745	5.6899999999999995	4.885
ACE2	0.14	0.195	0.12	0.11	0.085	0.095	0.20500000000000002	0.48	1.295
ACE3	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.02	0.0
ACER1	0.0	0.0	0.0	0.0	0.01	0.0	0.015	0.0	0.0
ACER2	4.525	6.675000000000001	9.985	10.205	10.91	8.955	10.085	8.215	4.675000000000001
ACER3	9.825	10.370000000000001	7.355	7.93	7.72	6.98	7.13	8.015	10.38
ACHE	1.115	2.635	2.705	2.825	7.53	7.805	8.965	48.36	23.77
ACIN1	77.855	122.025	154.51	166.73000000000002	107.455	143.985	117.61500000000001	74.83	64.62
ACKR1	0.55	3.29	3.9	7.619999999999999	9.475000000000001	9.24	10.375	10.835	16.465
ACKR2	0.245	0.6950000000000001	0.755	1.21	1.73	1.9100000000000001	2.19	0.885	0.84
ACKR3	11.105	25.035	22.369999999999997	23.97	31.035	19.634999999999998	25.35	9.370000000000001	3.8899999999999997
ACKR4	0.235	0.47	0.335	0.325	0.235	0.43	0.275	0.445	0.15
ACLY	158.14499999999998	233.63	279.425	217.76	171.535	193.47500000000002	194.15499999999997	84.86	50.315000000000005
ACMSD	0.145	0.13	0.15000000000000002	0.05500000000000001	0.035	0.05500000000000001	0.065	0.065	0.02
ACNAT1	0.03	0.05	0.185	0.0	0.0	0.0	0.0	0.02	0.035
ACNAT2	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.03
ACO1	29.270000000000003	51.885	51.5	44.370000000000005	44.75	43.375	48.19	31.865	9.59
ACO2	79.82499999999999	134.60500000000002	149.82	169.86	185.2	199.315	208.07999999999998	206.245	170.28
ACOD1	0.0	0.05	0.03	0.0	0.0	0.0	0.0	0.015	0.0
ACOT1	10.344999999999999	25.115000000000002	28.545	34.260000000000005	51.834999999999994	50.150000000000006	55.56999999999999	77.345	8.5
ACOT10	0.04	0.07500000000000001	0.07	0.18	0.225	0.185	0.245	0.25	0.085
ACOT11	1.095	1.335	1.16	0.66	0.865	0.91	1.0050000000000001	0.8400000000000001	9.185
ACOT12	0.05	0.01	0.045	0.005	0.0	0.01	0.0	0.18000000000000002	0.34500000000000003
ACOT13	33.075	47.675	47.075	53.650000000000006	56.84	49.17	50.239999999999995	64.14	126.625
ACOT2	8.21	9.575	8.780000000000001	8.425	3.935	9.44	6.835000000000001	14.965	2.33
ACOT3	0.1	0.18	0.33	0.455	0.4	0.6399999999999999	0.59	0.915	0.9850000000000001
ACOT4	0.155	0.15500000000000003	0.16	0.12	0.16999999999999998	0.28	0.2	0.8049999999999999	0.78
ACOT5	0.0	0.0	0.0	0.0	0.025	0.145	0.05	0.88	1.335
ACOT6	0.37	1.02	0.695	0.685	1.305	0.825	1.25	1.01	3.26
ACOT7	34.114999999999995	60.69	71.28	108.58	159.02999999999997	177.695	177.94	373.26	154.50500000000002
ACOT8	9.465	12.955	12.57	16.37	13.225	16.475	14.73	15.055	8.665
ACOT9	8.89	13.969999999999999	13.725	18.035	33.415	25.11	32.82	51.085	28.48
ACOX1	10.805	23.165	30.134999999999998	32.66	44.14	43.89	50.935	43.56	59.739999999999995
ACOX2	0.0	0.060000000000000005	0.12000000000000001	0.0	0.14	0.01	0.1	0.385	0.065
ACOX3	5.25	11.32	12.765	10.64	11.615	11.015	11.04	10.625	9.8
ACOXL	0.05	0.045	0.045	0.0	0.05	0.06	0.04	0.1	0.0
ACP1	58.525000000000006	75.44999999999999	59.205	54.245000000000005	52.975	41.44	46.025	46.57	30.71
ACP2	14.275	25.4	27.384999999999998	25.805	31.73	29.02	31.175	23.49	28.895
ACP4	0.05	0.10500000000000001	0.115	0.14500000000000002	0.060000000000000005	0.03	0.065	0.055	0.0
ACP5	11.98	13.85	3.4	0.605	0.32499999999999996	0.41000000000000003	0.355	0.54	0.23
ACP6	18.09	22.295	22.3	17.96	13.83	18.674999999999997	18.87	9.175	12.98
ACP7	0.07	0.0	0.0	0.0	0.0	0.01	0.035	0.265	0.435
ACPP	0.135	0.28500000000000003	0.215	0.015	0.10500000000000001	0.08	0.10500000000000001	0.28500000000000003	0.11499999999999999
ACR	0.095	0.5	1.075	1.155	0.77	1.305	0.865	1.365	0.34
ACRBP	6.66	12.17	13.645	16.62	10.575	19.68	15.27	10.82	4.2700000000000005
ACRV1	0.015	0.055	0.0	0.02	0.0	0.0	0.03	0.0	0.05
ACSBG1	4.695	14.93	15.52	12.79	17.07	17.59	18.880000000000003	30.485	53.155
ACSBG2	0.0	0.025	0.01	0.0	0.025	0.025	0.01	0.0	0.035
ACSF2	2.025	5.17	3.085	1.3599999999999999	1.83	0.935	1.53	1.295	4.675
ACSF3	9.855	12.129999999999999	13.185	12.93	11.905000000000001	12.07	11.905000000000001	12.059999999999999	5.635
ACSL1	3.255	4.79	4.915	4.445	7.54	6.574999999999999	8.77	17.715	19.36
ACSL3	46.754999999999995	76.93	76.14	58.09	72.39	62.06	78.905	56.295	176.3
ACSL4	11.16	16.04	15.754999999999999	9.985	11.735	9.625	12.76	15.47	46.82
ACSL5	13.844999999999999	14.995000000000001	12.085	8.54	8.495000000000001	8.795	10.61	12.600000000000001	32.315
ACSL6	6.32	13.555	21.130000000000003	21.51	22.965	31.08	30.275000000000002	39.875	98.905
ACSM1	0.0	0.0	0.0	0.0	0.0	0.045	0.0	0.02	0.03
ACSM2	0.0	0.0	0.0	0.0	0.04	0.0	0.05	0.0	0.0
ACSM3	0.065	0.405	0.155	0.115	0.145	0.15	0.165	0.035	0.115
ACSM4	0.085	1.0350000000000001	6.640000000000001	0.01	0.0	0.01	0.015	0.05500000000000001	0.0
ACSM5	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.015	0.11000000000000001
ACSS1	8.585	37.015	40.459999999999994	27.755000000000003	15.254999999999999	21.494999999999997	17.355	9.495	8.305
ACSS2	7.455	17.27	18.75	17.405	14.76	18.28	16.89	12.575	25.314999999999998
ACSS2OS	0.0	0.175	0.11	0.0	0.0	0.065	0.0	0.0	0.0
ACSS3	1.73	2.585	1.7850000000000001	0.84	0.5900000000000001	0.54	0.475	0.56	0.815
ACTA1	0.09	0.49	1.4100000000000001	2.015	3.3200000000000003	4.5	4.235	16.145	4.805000000000001
ACTA2	3.935	17.805	30.505	4.51	9.965	5.915	11.735	6.795	11.105
ACTB	3363.67	4930.4	5521.625	6113.145	8608.14	6060.09	7348.16	8991.43	424.31
ACTBL2	0.0	0.0	0.0	0.01	0.0	0.0	0.01	0.01	0.035
ACTC1	0.835	0.615	3.785	17.314999999999998	0.425	10.17	1.27	0.15	0.0
ACTG1	1440.995	2346.84	2442.99	2832.1	3270.42	3221.31	3425.4	3614.925	499.46000000000004
ACTG2	0.10500000000000001	2.15	2.68	0.99	1.3050000000000002	0.915	1.77	1.1300000000000001	0.08
ACTL10	0.27	0.475	0.63	0.49	0.14	0.61	0.24	0.055	0.0
ACTL11	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.01
ACTL6A	157.595	221.285	191.505	174.76	118.55	109.86	106.00999999999999	35.935	11.469999999999999
ACTL6B	1.9049999999999998	16.54	64.33	130.465	155.875	207.68	188.11	221.655	42.345
ACTL7A	0.01	0.05	0.0	0.015	0.05	0.03	0.02	0.0	0.0
ACTL7B	0.04	0.075	0.02	0.0	0.0	0.0	0.0	0.0	0.035
ACTL9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACTN1	14.165	20.61	15.225	7.125	5.73	6.1899999999999995	6.87	4.5649999999999995	25.2
ACTN2	0.725	0.28	0.8999999999999999	0.925	1.0150000000000001	2.0549999999999997	1.86	3.84	5.555
ACTN3	1.145	1.58	1.095	0.675	0.71	0.6599999999999999	0.7	1.71	0.405
ACTN4	124.61000000000001	139.96499999999997	126.52	89.47999999999999	82.73500000000001	93.21000000000001	102.105	68.055	37.785000000000004
ACTR10	26.795	47.855000000000004	57.795	70.785	91.555	81.3	90.6	84.875	61.525000000000006
ACTR1A	95.78999999999999	171.445	201.8	241.375	348.70500000000004	307.78	350.255	306.41499999999996	71.255
ACTR1B	75.285	85.765	85.225	76.19	67.375	81.345	79.42	83.015	103.675
ACTR2	62.644999999999996	55.565	118.525	130.63	67.68	140.49	114.56	143.44	192.65
ACTR3	124.22	200.52499999999998	203.8	190.14999999999998	204.765	207.24	213.71499999999997	170.16000000000003	183.97500000000002
ACTR3B	5.84	12.695	15.23	22.945	40.14	38.295	44.43	78.715	67.835
ACTR5	8.5	16.53	17.770000000000003	10.64	9.879999999999999	11.695	10.78	6.9	2.635
ACTR6	15.65	25.854999999999997	27.365000000000002	31.875	41.835	35.16	43.129999999999995	38.995	29.08
ACTR8	34.45	51.8	58.17	58.504999999999995	53.53	55.96	58.47	33.225	20.055
ACTRT1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACTRT2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACTRT3	0.07500000000000001	0.095	0.04	0.095	0.175	0.14	0.19	0.48	0.725
ACVR1	1.77	4.35	3.375	3.785	7.710000000000001	6.335	8.2	5.09	12.4
ACVR1B	3.1550000000000002	12.295	13.64	12.51	24.604999999999997	18.84	25.345	13.045	26.48
ACVR1C	0.075	0.49	0.555	0.585	0.86	0.9949999999999999	1.5	0.6950000000000001	8.8
ACVR2A	11.235	28.634999999999998	34.805	26.22	36.015	35.725	41.675	30.345	19.93
ACVR2B	29.134999999999998	79.195	69.99000000000001	33.335	15.645	36.93	17.985	11.92	1.095
ACVRL1	4.38	5.805	5.29	4.27	3.36	5.43	5.305	4.98	4.9
ACY1	31.019999999999996	35.879999999999995	34.8	37.255	30.935000000000002	33.73	29.175	17.564999999999998	7.805000000000001
ACY3	0.835	0.9299999999999999	0.615	0.515	1.23	0.73	0.96	1.6	0.735
ACYP1	28.3	45.845	51.364999999999995	60.269999999999996	53.195	46.695	48.125	40.335	36.105000000000004
ACYP2	3.835	5.67	6.455	7.675	9.865	7.914999999999999	9.765	22.71	42.105000000000004
ADA	7.49	7.23	6.285	5.795	4.24	3.6449999999999996	3.825	4.265	0.27
ADAD1	0.185	0.06	0.32	0.235	0.21999999999999997	0.18	0.095	0.02	0.0
ADAD2	0.075	0.01	0.095	0.01	0.035	0.015	0.035	0.10500000000000001	0.105
ADAL	13.445	24.16	24.025	23.924999999999997	30.915	27.119999999999997	30.855	17.905	18.625
ADAM10	33.765	46.775	65.58	50.935	39.03	51.75	50.76	36.265	37.435
ADAM11	6.795	10.265	18.939999999999998	16.23	9.530000000000001	19.869999999999997	14.440000000000001	13.475000000000001	30.650000000000002
ADAM12	0.515	1.64	1.475	1.025	2.59	1.85	3.1	1.37	0.95
ADAM15	19.54	22.380000000000003	21.14	21.65	13.830000000000002	27.855	25.439999999999998	45.35	48.714999999999996
ADAM17	21.630000000000003	28.14	27.020000000000003	18.009999999999998	16.585	15.094999999999999	17.515	7.58	7.3
ADAM18	0.0	0.0	0.0	0.0	0.0	0.03	0.015	0.115	0.5349999999999999
ADAM19	5.805	6.4399999999999995	8.2	5.545	4.49	7.220000000000001	6.74	3.635	3.8850000000000002
ADAM1A	0.41000000000000003	1.37	1.6099999999999999	1.9100000000000001	1.75	1.97	1.955	0.58	2.88
ADAM1B	0.02	0.03	0.05	0.01	0.015	0.05	0.015	0.005	0.0
ADAM2	0.05	0.0	0.03	0.01	0.01	0.0	0.0	0.030000000000000002	0.04
ADAM20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ADAM21	0.18	0.395	0.32999999999999996	0.405	0.23	0.495	0.345	0.29500000000000004	0.215
ADAM22	4.17	12.425	19.665	18.83	27.565	32.525000000000006	35.4	26.625	48.650000000000006
ADAM23	1.9649999999999999	7.8149999999999995	10.11	7.859999999999999	6.2	8.575	6.85	11.41	49.545
ADAM24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ADAM25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.02
ADAM26A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ADAM26B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015
ADAM28	0.025	0.05	0.15500000000000003	0.07500000000000001	0.01	0.125	0.03	0.02	0.0
ADAM29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
